ORG,TECH COMPANY,BIG TECH,MILITARY,NONPROFIT FUNDER,RESEARCH INSTITUTE,AGENCIES,NOTES
MOZILLA,,,,x,,,
STANFORD,,,,,,,
HENRY LUCE FOUNDATION,,,,x,,,
ANR,x,,,,,,
MICROSOFT,x,x,,,,,
UNUMED,,,,,,,
MITACS,x,,,,,,
NCCR SWISSMAP,,,,,x,,
ENGINEERING RESEARCH CENTER PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA (NRF) FUNDED BY THE KOREAN GOVERNMENT MSIT,,,,,x,,
INTEL,x,x,,,,,
ONR,,,x,,,,
SGF,x,,,,,,
BILL AND MELINDA GATES FOUNDATION,,,,x,,,
NGA,,,x,,,,
"""SELF EMPLOYED""",,,,,,,
DARPA TRANSFER LEARNING PROGRAM,,,x,,,,
“QILU” YOUNG TALENT PROGRAM OF SHANDONG UNIVERSITY,,,,,x,,
LATSIS FOUNDATION,,,,x,,,
SIMONS,,,,,x,x,
NDSEGF,,,x,,,,
CIFAR,,,,,x,x,
NSF,,,,,,x,
STANFORD DATA SCIENCE INITIATIVE,,,,,x,x,
OFFICE OF NAVAL,,,x,,,,
SRC,,,,,,x,
GOVERNMENT OF CANADA,,,,,,x,
EXCELLENCE INITIATIVE OF THE GERMAN RESEARCH FOUNDATION (DFG),,,,,x,x,
DARPA,,,x,,,,
LAGRANGE PROGRAMS,,,,,,,this seems to be associated with darpa but I can't be sure
SNSF,,,,,x,x,
BMBF GRANT DETOL,,,,,,x,
NEC,x,,,,,,
EUROPEAN RESEARCH COUNCIL (ERC),,,,,,x,
SALESFORCE DEEP LEARNING,x,,,,,,
SAMSUNG ELECTRONICS,x,x,,,,,
CCF,,,,,,,not sure what this is
WISCONSIN ALUMNI RESEARCH FOUNDATION,,,,x,,,
CENTER  FOR  INTELLIGENT  INFORMATION  RETRIEVAL,,,,,x,,
CIA,,,x,,,,
DOE-OFFICE OF SCIENCE,,,,,,x,
DEVELOPMENT PROGRAM OF CHINA,,,,,x,,not sure about this either
NONE STATED,,,,,,,
ERC SG CONSTAMIS,,,,,,x,
AMAURI HOLANDA DE SOUZA JR,,,,,,,not sure what this is
SLOAN,,,,x,,,
SLOAN FOUNDATION,,,,x,,,
MITIBM WATSON AI LAB,x,x,,,x,,
NVIDIA,x,x,,,,,
GATSBY,,,,x,,,
